#chrom	chromStart	chromEnd	name	amp_del
chr1	62692985	65465763	region1	+
chr1	151857900	155336224	region2	+
chr1	200963155	201411565	region3	+
chr1	202752134	204048784	region4	+
chr3	150720722	151660305	region5	+
chr3	167464048	193320147	region6	+
chr4	71418887	77131137	region7	+
chr4	184048238	184817325	region8	-
chr6	105712470	109112664	region9	+
chr7	55054219	55545075	region10	+
chr8	19719198	22454582	region11	-
chr8	26204951	28803398	region12	-
chr8	37672459	39261593	region13	+
chr8	127300001	136500000	region14	+
chr9	21507627	22140976	region15	-
chr10	30702999	32803238	region16	+
chr10	76663735	81842287	region17	+
chr10	88085774	91245913	region18	-
chr11	31347953	36251485	region19	+
chr11	65576392	66471916	region20	+
chr11	68231484	70185520	region21	+
chr11	71578255	72747564	region22	+
chr11	75203860	77963367	region23	+
chr12	259484	4539475	region24	+
chr12	66974613	69035040	region25	+
chr13	37224832	39767421	region26	-
chr13	45192796	50537115	region27	-
chr13	49235120	49745329	region28	-
chr13	71316783	73426040	region29	-
chr15	40032508	41155167	region30	-
chr15	96304947	97608945	region31	+
chr16	67411784	68661883	region32	-
chr17	11004441	12848195	region33	-
chr17	20843498	25877958	region34	+
chr17	35015230	35273967	region35	+
chr17	44157125	46621138	region36	+
chr17	53777538	53849930	region37	+
chr17	70458434	77649395	region38	+
chr19	15131444	15351603	region39	+
chr19	54641368	55129004	region40	+
chr20	35755848	43440371	region41	+
chr20	44746411	55386926	region42	+
chr20	61622577	62186156	region43	+
chr21	46479476	46690110	region44	+
chrX	1482032	2429015	region45	-
